soc_code,pct_tasks_automation,pct_tasks_augmentation,diff_extensive,mean_automation,mean_augmentation,diff_intensive,occupation,two_digit_soc_code,total_employment,median_wage,educationcode,degfield_1,degree_share_1,degfield_2,degree_share_2,degfield_3,degree_share_3,related_soc_code_1,relatedness_score_1,related_soc_code_2,relatedness_score_2,related_soc_code_3,relatedness_score_3,ranking
"11-1011",.0789474,.1622807,-.0833333,3.596589,15.22694,-11.63035,"Chief Executives","Management",211850,206420,"Bachelors degree","business",.3605354,"engineering",.1117319,"social sciences",.1019854,"13-1111",2.340312,"11-1021",2.096216,"13-1082",2.025255,39
"11-1021",.1111111,.1111111,0,6.014692,5.096418,.9182739,"General and Operations Managers","Management",3584420,102950,"Bachelors degree","business",.3514659,"engineering",.0930254,"social sciences",.085134,"11-3012",2.560973,"43-1011",2.524709,"39-1014",2.521168,32
"11-1031",0,0,0,0,0,0,"Legislators","Management",26510,44810,"Bachelors degree",,,,,,,"19-3094",1.662829,"23-1012",1.439217,"43-6011",1.342472,100
"11-2011",.2113971,.2113971,0,11.18704,15.47963,-4.292589,"Advertising and Promotions Managers","Management",21100,126960,"Bachelors degree","communications",.2658755,"business",.2601325,"fine arts",.0961442,"41-3011",3.028975,"11-2021",2.855332,"13-1161",2.559391,21
"11-2021",.4166667,.3333333,.0833333,22.46714,22.9874,-.5202618,"Marketing Managers","Management",384980,161030,"Bachelors degree","business",.3461399,"communications",.1735326,"social sciences",.078884,"11-2022",2.87397,"11-2011",2.855332,"13-1161",2.829391,9
"11-2022",.125,.125,0,6.428572,6.071428,.3571434,"Sales Managers","Management",603710,138060,"Bachelors degree","business",.4150134,"social sciences",.0866448,"engineering",.0762398,"11-2021",2.87397,"41-3091",2.765537,"11-2011",2.382879,30
"11-3021",.2352941,.2352941,0,9.762148,13.76726,-4.005116,"Computer and Information Systems Managers","Management",645970,171200,"Bachelors degree","business",.2282495,"computer and information sciences",.2244622,"engineering",.1547288,"15-1252",3.104928,"13-1082",2.913048,"13-1111",2.617476,18
"11-3031",.09375,.09375,0,4.343014,6.371272,-2.028257,"Financial Managers","Management",818620,161700,"Bachelors degree","business",.5664122,"social sciences",.0986724,"engineering",.0371566,"13-2051",2.498548,"13-2052",2.325541,"13-2011",2.304846,35
"11-3051",.010989,0,.010989,1.098901,0,1.098901,"Industrial Production Managers","Management",234380,121440,"Bachelors degree","business",.24408,"engineering",.2319077,"biology and life sciences",.0730725,"51-8013",2.443524,"51-8099",2.384223,"49-9099",2.163189,53
"11-3061",.3333333,.2,.1333333,25.67011,7.663223,18.00689,"Purchasing Managers","Management",81240,139510,"Bachelors degree","business",.435302,"social sciences",.0944886,"engineering",.0734002,"43-3061",2.876519,"13-1020",2.403402,"11-2022",2.241138,13
